video_id,title,publishedAt,views,likes,comments,like_ratio,publish_hour,publish_day
4p7axLXXBGU,Aprenda Python em 10min (para Iniciantes),2022-11-03 20:00:02+00:00,866853,39307,541,0.045344481705664054,20,Thursday
_EsHwyjiqyQ,Imparare a programmare da zero. Corso di Programmazione Python per Principianti Tutorial Python ITA,2021-03-02 11:30:57+00:00,312226,14390,923,0.04608841031816697,11,Tuesday
b4Y3fSchAOE,Importing NumPy & Pandas on Python Tutorial | Beginner’s Guide to Coding,2025-02-11 20:00:15+00:00,109,1,0,0.009174311926605505,20,Tuesday
lsqJn0DU5wI,I Tried 50 Python Courses. Here Are Top 5.,2025-05-08 15:20:09+00:00,56298,1888,84,0.03353582720522932,15,Thursday
ThklY3Y9eYM,Day 9 of 15 Days Python Tutorial 🚀 | Looping through List #pythontutorial #learnpython,2025-06-23 12:30:40+00:00,2631,94,1,0.035727860129228434,12,Monday
rLyYb7BFgQI,Learn Python OOP in under 20 Minutes,2024-08-30 08:05:44+00:00,389021,13590,255,0.03493384675891533,8,Friday
i3cAsAivXC8,For loop in Python | Python interview question | #pythontutorial #python #interview #forloop #loops,2024-01-05 18:07:50+00:00,69188,1285,1,0.01857258484130196,18,Friday
Eaz5e6M8tL4,#5 Python Tutorial for Beginners | List in Python,2018-07-03 15:26:39+00:00,3327718,62580,3447,0.01880568004860989,15,Tuesday
aIUqbB7R1v0,Python Turtle Graphics 7 | multi colors designs #CodingWithKarthik,2022-05-25 13:41:19+00:00,465786,27697,234,0.05946292932806053,13,Wednesday
nxjwB8up2gI,Regular Expressions in Python || Python Tutorial || Learn Python Programming,2022-12-22 11:20:13+00:00,113093,4126,169,0.03648324830007162,11,Thursday
0MhVkKHYUAY,New Python Coders Be Like...,2022-07-31 12:57:40+00:00,5385387,155474,3110,0.028869605842625608,12,Sunday
8O5kX73OkIY,#49 Python Tutorial for Beginners | Class and Object,2018-08-16 06:45:22+00:00,939417,15931,468,0.01695839015048695,6,Thursday
9F6zAuYtuFw,Python Scripting Tutorial for Beginners | Python Tutorial | Python Training | Edureka,2018-04-16 04:47:38+00:00,547691,5750,63,0.01049862057254912,4,Monday
WpF6azYAxYg,Decorators in Python  || Python Tutorial  ||  Learn Python Programming,2023-05-07 10:00:16+00:00,134049,4733,180,0.03530798439376646,10,Sunday
P7NbYXCvxtA,Ready for my next tutorial? #shorts #python,2022-11-26 19:59:50+00:00,26739,1678,76,0.06275477766558211,19,Saturday
nKPbfIU442g,Curso de PYTHON desde CERO (Completo),2023-01-22 23:52:37+00:00,4611975,155935,7984,0.033810894464952654,23,Sunday
yVl_G-F7m8c,Python Projects for Beginners – Master Problem-Solving! 🚀,2024-09-10 13:01:00+00:00,532124,12471,481,0.023436266734821208,13,Tuesday
9mmVa6O-hzQ,PYTHON LERNEN in 10 Minuten (Anfänger Tutorial Deutsch),2022-05-25 16:00:07+00:00,186017,4813,149,0.02587397925996011,16,Wednesday
9N6a-VLBa2I,Python Tutorial: Working with JSON Data using the json Module,2017-11-20 19:00:01+00:00,1238837,25955,780,0.02095110171878948,19,Monday
kdLM6AOd2vc,OpenCV Python Tutorial For Beginners 1 - Introduction to OpenCV,2019-02-04 22:13:57+00:00,637597,5629,82,0.008828460610699234,22,Monday
RcZsTI5h0kg,HashMaps in Python Tutorial - Data Structures for Coding Interviews,2022-09-05 17:00:12+00:00,226409,6970,170,0.03078499529612339,17,Monday
EgpLj86ZHFQ,Please Learn How To Write Tests in Python… • Pytest Tutorial,2025-02-25 15:54:38+00:00,98551,2280,59,0.023135229475094114,15,Tuesday
U2ZN104hIcc,Python Tutorial: pip - An in-depth look at the package management system,2015-04-16 15:33:57+00:00,273476,4196,174,0.015343211104447921,15,Thursday
e6vPt_e9sRw,Python Tutorial Deutsch | Komplettkurs für Anfänger,2024-05-07 14:00:35+00:00,626753,17014,525,0.027146260169476653,14,Tuesday
TqPzwenhMj0,#4 Python Tutorial for Beginners | Variables in Python,2018-07-03 03:48:22+00:00,3545594,62472,3294,0.017619614654131296,3,Tuesday
2uvysYbKdjM,Complete Python Pandas Data Science Tutorial! (2025 Updated Edition),2024-06-29 14:10:02+00:00,497170,13536,343,0.02722609972444033,14,Saturday
2vdDWpABpj4,"Python Turtle Graphics for my ❤️ When Words Fail, Code Speaks 🌹.#pythonprogramming #coding",2025-07-03 02:55:00+00:00,1815,24,0,0.013223140495867768,2,Thursday
