video_id,title,publishedAt,views,likes,comments
M576WGiDBdQ,"Solidity, Blockchain, and Smart Contract Course – Beginner to Expert Python Tutorial",2021-09-09T13:38:22Z,3641018,91991,5248
B9nFMZIYQl0,Python Tutorial for Beginners - Full Course in 12 Hours (2022),2022-09-02T16:00:10Z,473429,16008,453
tZO6AxKCQ7s,python tutorial Arithmetic operators,2023-06-27T07:44:46Z,50,0,0
FbBXtqtRnWU,Introducing Python in Excel,2023-08-22T13:21:51Z,1905373,38137,1531
2vdDWpABpj4,"Python Turtle Graphics for my ❤️ When Words Fail, Code Speaks 🌹.#pythonprogramming #coding",2025-07-03T02:55:00Z,1815,24,0
pKEjmiH_4RA,#5 - Create python script with IDLE shell | Python Tutorial | Praveen Kumar,2023-03-22T19:31:53Z,231761,2950,47
Mf7eFtbVxFM,#6 Python Tutorial for Beginners | Tuple | Set in Python,2018-07-04T03:00:17Z,2293926,38114,1681
H09PmP5tsy8,Making a Game in Python with No Experience,2023-01-07T17:17:00Z,2023089,65793,920
dJI5NY8aZxs,Python Animation Tutorial #python #shorts #coding #cool,2025-03-13T10:16:22Z,38,2,0
2socU7yFLl0,Python Django Setup is easy | Python Tutorial,2025-08-28T15:45:00Z,419,5,0
u-OmVr_fT4s,Python Functions | Python Tutorial for Absolute Beginners #1,2018-11-06T15:00:11Z,1142386,19632,444
rRTjPnVooxE,While loops in Python are easy ♾️,2022-10-22T14:02:58Z,622143,16086,358
Kh5jZMM8h7Y,Python CLASSES in 50 Seconds! 🔥👨‍💻 #shorts,2022-01-22T05:00:17Z,1075815,36745,380
bdBlnHoRHVE,Python Tkinter Add Image #like #tutorial,2023-04-26T18:25:23Z,57116,1637,28
kTVGcROrDeU,Which operator can be used to compare two  values? #shorts #python #tutorial #beginners #quiz,2022-07-29T18:30:55Z,239,2,0
KWgYha0clzw,For loops in Python are easy 🔁,2022-10-23T17:33:10Z,672584,14427,275
ERCMXc8x7mc,Python Tutorial for Beginners - Full Course (with Notes & Practice Questions),2024-02-12T14:24:29Z,9302042,151875,7927
WHY3bz5_QdI,Python full course in telugu in 1 hour | Complete python course | Vamsi Bhavani,2022-03-22T15:41:18Z,1252889,47451,657
W8KRzm-HUcc,"Python Tutorial for Beginners 4: Lists, Tuples, and Sets",2017-05-17T17:00:03Z,1659980,39800,1204
XF6QAx-zPqQ,python graphics design👨‍💻🔥🔥|python tutorial video|Python short video software engineer|#python #100,2024-01-29T06:36:49Z,437,0,0
NiIJIU5BEBU,Python Tutorial: Introduction to spaCy,2020-03-05T16:30:13Z,14787,183,1
4p7axLXXBGU,Aprenda Python em 10min (para Iniciantes),2022-11-03T20:00:02Z,866853,39307,541
_EsHwyjiqyQ,Imparare a programmare da zero. Corso di Programmazione Python per Principianti Tutorial Python ITA,2021-03-02T11:30:57Z,312226,14390,923
b4Y3fSchAOE,Importing NumPy & Pandas on Python Tutorial | Beginner’s Guide to Coding,2025-02-11T20:00:15Z,109,1,0
lsqJn0DU5wI,I Tried 50 Python Courses. Here Are Top 5.,2025-05-08T15:20:09Z,56298,1888,84
ThklY3Y9eYM,Day 9 of 15 Days Python Tutorial 🚀 | Looping through List #pythontutorial #learnpython,2025-06-23T12:30:40Z,2631,94,1
rLyYb7BFgQI,Learn Python OOP in under 20 Minutes,2024-08-30T08:05:44Z,389021,13590,255
i3cAsAivXC8,For loop in Python | Python interview question | #pythontutorial #python #interview #forloop #loops,2024-01-05T18:07:50Z,69188,1285,1
Eaz5e6M8tL4,#5 Python Tutorial for Beginners | List in Python,2018-07-03T15:26:39Z,3327718,62580,3447
aIUqbB7R1v0,Python Turtle Graphics 7 | multi colors designs #CodingWithKarthik,2022-05-25T13:41:19Z,465786,27697,234
nxjwB8up2gI,Regular Expressions in Python || Python Tutorial || Learn Python Programming,2022-12-22T11:20:13Z,113093,4126,169
0MhVkKHYUAY,New Python Coders Be Like...,2022-07-31T12:57:40Z,5385387,155474,3110
8O5kX73OkIY,#49 Python Tutorial for Beginners | Class and Object,2018-08-16T06:45:22Z,939417,15931,468
9F6zAuYtuFw,Python Scripting Tutorial for Beginners | Python Tutorial | Python Training | Edureka,2018-04-16T04:47:38Z,547691,5750,63
WpF6azYAxYg,Decorators in Python  || Python Tutorial  ||  Learn Python Programming,2023-05-07T10:00:16Z,134049,4733,180
P7NbYXCvxtA,Ready for my next tutorial? #shorts #python,2022-11-26T19:59:50Z,26739,1678,76
nKPbfIU442g,Curso de PYTHON desde CERO (Completo),2023-01-22T23:52:37Z,4611975,155935,7984
yVl_G-F7m8c,Python Projects for Beginners – Master Problem-Solving! 🚀,2024-09-10T13:01:00Z,532124,12471,481
9mmVa6O-hzQ,PYTHON LERNEN in 10 Minuten (Anfänger Tutorial Deutsch),2022-05-25T16:00:07Z,186017,4813,149
9N6a-VLBa2I,Python Tutorial: Working with JSON Data using the json Module,2017-11-20T19:00:01Z,1238837,25955,780
kdLM6AOd2vc,OpenCV Python Tutorial For Beginners 1 - Introduction to OpenCV,2019-02-04T22:13:57Z,637597,5629,82
RcZsTI5h0kg,HashMaps in Python Tutorial - Data Structures for Coding Interviews,2022-09-05T17:00:12Z,226409,6970,170
EgpLj86ZHFQ,Please Learn How To Write Tests in Python… • Pytest Tutorial,2025-02-25T15:54:38Z,98551,2280,59
U2ZN104hIcc,Python Tutorial: pip - An in-depth look at the package management system,2015-04-16T15:33:57Z,273476,4196,174
e6vPt_e9sRw,Python Tutorial Deutsch | Komplettkurs für Anfänger,2024-05-07T14:00:35Z,626753,17014,525
TqPzwenhMj0,#4 Python Tutorial for Beginners | Variables in Python,2018-07-03T03:48:22Z,3545594,62472,3294
2uvysYbKdjM,Complete Python Pandas Data Science Tutorial! (2025 Updated Edition),2024-06-29T14:10:02Z,497170,13536,343
2vdDWpABpj4,"Python Turtle Graphics for my ❤️ When Words Fail, Code Speaks 🌹.#pythonprogramming #coding",2025-07-03T02:55:00Z,1815,24,0
gZwPdqC2Os0,#48 Python Tutorial for Beginners | Object Oriented Programming | Introduction,2018-08-14T15:43:52Z,500177,9582,248
tZO6AxKCQ7s,python tutorial Arithmetic operators,2023-06-27T07:44:46Z,50,0,0
3J1xBL7zJXg,Python do ZERO ao JÚNIOR - Os vendedores de curso CHORAM | Rápido & Sem enrolação,2023-08-15T15:00:07Z,804992,53713,1847
kdLM6AOd2vc,OpenCV Python Tutorial For Beginners 1 - Introduction to OpenCV,2019-02-04T22:13:57Z,637597,5629,82
GmdGv5ndX54,Python For Beginners in Telugu [PART 1] || Code with Swaroop || Zero to Hero || Introduction,2024-01-01T14:57:42Z,1124274,45988,2966
pKEjmiH_4RA,#5 - Create python script with IDLE shell | Python Tutorial | Praveen Kumar,2023-03-22T19:31:53Z,231761,2950,47
HGOBQPFzWKo,Intermediate Python Programming Course,2020-08-27T17:23:03Z,4169710,88674,1957
UrsmFxEIp5k,Python Tutorial For Beginners in Hindi | Complete Python Course 🔥,2024-06-16T05:36:24Z,13575585,287159,37965
qiSCMNBIP2g,OOP in Python | Object Oriented Programming,2018-11-17T15:07:38Z,1978380,36600,1418
dJI5NY8aZxs,Python Animation Tutorial #python #shorts #coding #cool,2025-03-13T10:16:22Z,38,2,0
GqHLztqy0PU,#64 Python Tutorial for Beginners | MultiThreading,2018-09-12T10:58:12Z,488408,11399,556
IEEhzQoKtQU,Python Threading Tutorial: Run Code Concurrently Using the Threading Module,2019-09-12T14:30:01Z,888092,21958,740
QVdf0LgmICw,Python Tutorial: Variable Scope - Understanding the LEGB rule and global/nonlocal statements,2016-12-20T17:30:00Z,387343,11345,367
vmEHCJofslg,"Complete Python Pandas Data Science Tutorial! (Reading CSV/Excel files, Sorting, Filtering, Groupby)",2018-10-26T00:10:07Z,3432847,74921,2120
EXIgjIBu4EU,Learn Pandas in 30 Minutes - Python Pandas Tutorial,2025-08-06T14:00:18Z,47095,1539,60
gCCVsvgR2KU,#10 Python Tutorial for Beginners | Data Types in Python,2018-07-05T09:47:27Z,1708796,26993,1059
oUJolR5bX6g,APPRENDRE PYTHON [TUTO PROGRAMMATION COMPLET DÉBUTANT],2020-10-17T07:17:34Z,3633898,106691,3806
2socU7yFLl0,Python Django Setup is easy | Python Tutorial,2025-08-28T15:45:00Z,419,5,0
Kh5jZMM8h7Y,Python CLASSES in 50 Seconds! 🔥👨‍💻 #shorts,2022-01-22T05:00:17Z,1075815,36745,380
kTVGcROrDeU,Which operator can be used to compare two  values? #shorts #python #tutorial #beginners #quiz,2022-07-29T18:30:55Z,239,2,0
bdBlnHoRHVE,Python Tkinter Add Image #like #tutorial,2023-04-26T18:25:23Z,57116,1637,28
D3JvDWO-BY4,"Python Tutorial: Sorting Lists, Tuples, and Objects",2015-12-15T16:30:01Z,292657,5776,228
oXlwWbU8l2o,OpenCV Course - Full Tutorial with Python,2020-11-03T14:18:52Z,4438869,52882,1219
-65r_3r-nN4,Python Tutorial with Gen AI for 2025 | Python for Beginners | Python full course,2024-07-28T12:32:00Z,355366,9584,145
3dt4OGnU5sM,Python Tutorial: Comprehensions - How they work and why you should be using them,2015-08-24T16:30:01Z,558427,13858,510
h8V1IOolYA0,Functions in Python | Python Tutorial in Hindi 10,2024-09-04T13:26:24Z,46154,1110,140
C0p-2qk6aak,Make Your First GUI Calculator in Python - Beginner Tutorial,2025-09-14T04:20:55Z,332,13,7
HHcZbXsZtm0,PyCharm Tutorial | Introduction to PyCharm | Basics in 10 Minutes,2021-09-08T14:48:09Z,731029,10748,348
k9TUPpGqYTo,Python Tutorial for Beginners 2: Strings - Working with Textual Data,2017-05-17T16:00:04Z,1912055,41326,1261
XCKWZAtKTnU,Python Tutorial 1: Introduction to Python for Absolute Beginners,2021-02-24T17:30:14Z,249373,6349,685
XF6QAx-zPqQ,python graphics design👨‍💻🔥🔥|python tutorial video|Python short video software engineer|#python #100,2024-01-29T06:36:49Z,437,0,0
dzxp6Ncz6-o,So würde ich 2025 Python lernen (schnellster Weg),2025-03-12T17:00:49Z,8203,270,9
NiIJIU5BEBU,Python Tutorial: Introduction to spaCy,2020-03-05T16:30:13Z,14787,183,1
2Fp1N6dof0Y,Python Tutorial: Calling External Commands Using the Subprocess Module,2019-07-24T17:00:00Z,391956,9378,387
FFrrShS7LZw,Python Tutorial für Anfänger: Lerne Python in 60 Minuten (deutsch),2024-08-10T16:00:11Z,83726,1738,93
qbLc5a9jdXo,REST API Crash Course - Introduction + Full Python API Tutorial,2020-11-19T20:27:58Z,1187448,27431,803
UHKACm20iS0,Python for Beginners | Ep - 01 | Basics - Print | Interpreter vs Compiler | Tamil | code io,2021-05-12T04:48:52Z,347462,8215,300
i3cAsAivXC8,For loop in Python | Python interview question | #pythontutorial #python #interview #forloop #loops,2024-01-05T18:07:50Z,69188,1285,1
lgoB3_-ejnI,AsyncIO in Python | Python Tutorial - Day #96,2023-03-03T11:32:53Z,120190,2881,175
sHw5hLYFaIw,Regular Expression Tutorial Python | Python Regex Tutorial,2021-12-01T13:00:11Z,174726,4343,135
gfR_XMqrGFs,Python Data Types | Learn Python | Python Tutorial for Beginners | Edureka | Python Module - 3,2020-07-09T05:55:32Z,9749,150,4
KjJ7WzEL-es,Python Tutorial for Beginners | Learn Python Step By Step | Python Course,2019-09-19T11:31:30Z,18344,302,22
HZARImviDxg,#20 Python Tutorial for Beginners | While Loop in Python,2018-07-12T04:59:18Z,1778514,31174,2316
